Year,HBT,SubGroup,NumberOfDeaths,NumberOfPatients,CrudeRate
2024,S08000022,All admissions,352,10627,3.312317681
2024,S08000024,All admissions,848,29154,2.908691775
2024,S08000025,All admissions,29,1010,2.871287129
2024,S08000026,All admissions,10,792,1.262626263
2024,S08000028,All admissions,26,1082,2.402957486
2024,S08000029,All admissions,411,11758,3.495492431
2024,S08000030,All admissions,517,16622,3.1103357
2024,S08000031,All admissions,1476,59233,2.491854203
2024,S08000032,All admissions,717,23381,3.066592532
2024,SB0801,All admissions,21,7185,0.292275574
